Job Role,Required Skills
Data Analyst,"Python, SQL, Power BI, Excel, Data Cleaning, Data Visualization, Statistics, Pandas, NumPy, Tableau, Communication, Problem Solving"
Data Scientist,"Python, Machine Learning, Deep Learning, Statistics, Pandas, NumPy, Scikit-learn, TensorFlow, PyTorch, Data Cleaning, Data Visualization, SQL, Big Data, Communication"
Machine Learning Engineer,"Python, TensorFlow, PyTorch, Scikit-learn, Deep Learning, NLP, Computer Vision, Data Engineering, Model Deployment, Docker, MLOps, Cloud Platforms, Problem Solving"
AI Engineer,"Artificial Intelligence, Machine Learning, Deep Learning, NLP, Computer Vision, Python, TensorFlow, PyTorch, APIs, Cloud AI Services, MLOps, Data Science, Prompt Engineering"
Software Engineer,"Java, C++, Python, Data Structures, Algorithms, OOP, Git, SQL, Debugging, REST API, Agile, Problem Solving, SDLC"
Full Stack Developer,"HTML, CSS, JavaScript, React, Node.js, Express.js, MongoDB, SQL, REST API, Git, Redux, TypeScript, Cloud Deployment, Authentication, Problem Solving"
Frontend Developer,"HTML, CSS, JavaScript, React, Redux, Tailwind CSS, Responsive Design, Accessibility, Webpack, Git, UI/UX Principles"
Backend Developer,"Node.js, Express.js, Django, Flask, REST API, SQL, MongoDB, Authentication, Cloud Hosting, Server Management, Security, API Documentation"
DevOps Engineer,"CI/CD, Jenkins, Docker, Kubernetes, AWS, Azure, GCP, Terraform, Linux, Git, Bash, Automation, Monitoring, Networking"
Cloud Engineer,"AWS, Azure, Google Cloud, Cloud Architecture, Docker, Kubernetes, Terraform, Networking, Security, Monitoring, CI/CD"
Cybersecurity Analyst,"Network Security, Ethical Hacking, Penetration Testing, Firewalls, IDS/IPS, Security Auditing, SIEM, Cryptography, Risk Assessment, Threat Analysis"
Database Administrator,"SQL, MySQL, PostgreSQL, Oracle, Database Design, Backup Recovery, Query Optimization, Data Security, Indexing, Replication"
UI/UX Designer,"Figma, Adobe XD, Wireframing, Prototyping, User Research, UX Principles, Design Thinking, Typography, Color Theory, Responsive Design"
Mobile App Developer,"Java, Kotlin, Swift, Flutter, React Native, Android Studio, Xcode, REST APIs, Firebase, UI/UX Design, Debugging"
Game Developer,"Unity, Unreal Engine, C#, C++, Game Physics, 3D Modeling, Animation, AI for Games, Optimization, Multiplayer Networking"
Embedded Systems Engineer,"C, C++, Microcontrollers, RTOS, IoT, PCB Design, UART, SPI, I2C, Hardware Debugging, Sensors, Firmware Development"
IoT Engineer,"IoT, Embedded C, Raspberry Pi, Arduino, MQTT, Cloud Integration, Sensors, Actuators, Networking, Data Analytics, Edge Computing"
Network Engineer,"TCP/IP, DNS, DHCP, Routing, Switching, LAN, WAN, Firewalls, Network Security, Cisco Devices, Troubleshooting"
System Administrator,"Linux, Windows Server, Active Directory, Networking, Shell Scripting, Backup, Security, Monitoring, Troubleshooting"
Data Engineer,"Python, SQL, Spark, Hadoop, ETL, Airflow, Data Warehousing, AWS, GCP, Azure, Big Data, Kafka, Data Pipelines"
Business Analyst,"Business Requirements, SQL, Excel, Power BI, Tableau, Data Visualization, Communication, Problem Solving, Stakeholder Management, Documentation"
Project Manager,"Agile, Scrum, JIRA, Communication, Risk Management, Leadership, Time Management, Budgeting, Stakeholder Management"
